ID,op_status,total_funding_usd,funding_rounds,first_funding_date,last_funding_date,num_investors,funding_duration,first_funding_utc,last_funding_utc,successful_investment
20378,operating,,1,30-06-2011,30-06-2011,1,0,15155,15155,0
20379,operating,,2,07-10-2014,28-01-2015,3,113,16350,16463,0
20380,closed,,2,02-07-2004,02-07-2004,7,0,12601,12601,0
20381,acquired,68800000,3,01-05-1998,08-10-2007,10,3447,10347,13794,1
20382,acquired,21700000,1,15-10-2002,15-10-2002,3,0,11975,11975,1
20383,acquired,8870000,1,01-06-2001,01-06-2001,3,0,11474,11474,1
20384,operating,185740,2,23-06-2004,13-04-2010,4,2120,12592,14712,0
20385,acquired,5700000,1,18-03-2005,18-03-2005,6,0,12860,12860,1
20386,operating,74966,1,22-01-2015,22-01-2015,1,0,16457,16457,0
20387,operating,,1,01-03-2006,01-03-2006,1,0,13208,13208,0
20388,operating,20000000,2,13-02-2012,09-12-2013,5,665,15383,16048,0
20389,operating,22757292,3,16-04-2007,01-09-2015,2,3060,13619,16679,0
20390,operating,30000,1,19-02-2013,19-02-2013,1,0,15755,15755,0
20391,operating,1346323,1,24-07-2014,24-07-2014,1,0,16275,16275,0
20392,operating,1040000,2,02-06-2014,12-08-2015,7,436,16223,16659,0
20393,operating,480000,2,01-11-2012,01-03-2013,3,120,15645,15765,0
20394,operating,22400000,2,01-07-2004,01-02-2006,4,580,12600,13180,0
20395,operating,29000000,2,04-09-2014,03-02-2015,5,152,16317,16469,0
20396,operating,4195228,4,28-12-2012,29-09-2014,3,640,15702,16342,0
20397,operating,,1,01-08-2015,01-08-2015,2,0,16648,16648,0
20398,operating,,2,01-02-2013,30-09-2013,2,241,15737,15978,0
20399,acquired,244000000,6,01-01-2008,07-12-2011,13,1436,13879,15315,1
20400,operating,2300000,1,18-06-2014,18-06-2014,1,0,16239,16239,0
20401,operating,5550000,3,15-07-2013,07-05-2015,2,661,15901,16562,0
20402,operating,1380000,2,01-01-2009,11-11-2009,2,314,14245,14559,0
20403,operating,2000000,1,31-10-2014,31-10-2014,7,0,16374,16374,0
20404,acquired,29310000,2,18-07-2003,25-09-2006,8,1165,12251,13416,1
20405,operating,173426,3,01-02-2013,01-09-2013,3,212,15737,15949,0
20406,acquired,6447280,3,09-04-2007,29-11-2012,3,2061,13612,15673,1
20407,operating,14100661,3,07-08-2008,15-07-2013,2,1803,14098,15901,0
20408,operating,,1,01-10-2012,01-10-2012,1,0,15614,15614,0
20409,operating,25995418,4,05-05-2011,13-01-2015,1,1349,15099,16448,0
20410,operating,1500000,1,27-05-2015,27-05-2015,6,0,16582,16582,0
20411,operating,7017479,2,01-07-2013,14-07-2015,5,743,15887,16630,0
20412,operating,34149500,3,02-09-2014,21-09-2015,13,384,16315,16699,0
20413,operating,163309,1,01-10-2013,01-10-2013,1,0,15979,15979,0
20414,operating,3450000,2,01-05-2012,19-06-2013,1,414,15461,15875,0
20415,operating,6065500,2,01-01-2010,01-05-2012,3,851,14610,15461,0
20416,operating,,1,01-08-2014,01-08-2014,4,0,16283,16283,0
20417,acquired,50000,3,28-02-2011,18-12-2012,2,659,15033,15692,1
20418,closed,,1,01-10-2014,01-10-2014,1,0,16344,16344,0
20419,operating,33000000,3,01-01-2010,08-06-2015,10,1984,14610,16594,0
20420,operating,13335737,5,30-10-2008,02-08-2012,1,1372,14182,15554,0
20421,operating,,1,15-05-2013,15-05-2013,2,0,15840,15840,0
20422,acquired,125250000,6,31-10-2007,01-01-2012,21,1523,13817,15340,1
20423,operating,18000000,2,20-06-2014,30-07-2015,2,405,16241,16646,0
20424,operating,38500000,3,21-07-2003,17-02-2010,6,2403,12254,14657,0
20425,operating,7000000,2,01-09-2008,01-06-2011,3,1003,14123,15126,0
20426,operating,19268235,3,01-11-2007,25-02-2014,11,2308,13818,16126,0
20427,operating,4160012,1,11-06-2015,11-06-2015,1,0,16597,16597,0
20428,operating,21000000,1,01-12-2015,01-12-2015,2,0,16770,16770,0
20429,operating,66248970,5,01-02-2008,21-04-2014,9,2271,13910,16181,0
20430,operating,,3,01-01-2011,01-06-2014,3,1247,14975,16222,0
20431,operating,15000000,2,31-07-2011,26-08-2015,1,1487,15186,16673,0
20432,operating,500000,1,10-08-2015,10-08-2015,1,0,16657,16657,0
20433,operating,40000,1,01-06-2014,01-06-2014,1,0,16222,16222,0
20434,operating,182500,2,01-05-2010,01-01-2011,8,245,14730,14975,0
20435,operating,,1,02-03-2015,02-03-2015,4,0,16496,16496,0
20436,operating,6399999,2,21-01-2014,10-12-2014,4,323,16091,16414,0
20437,operating,7000000,1,02-06-2003,02-06-2003,1,0,12205,12205,0
20438,operating,,3,05-03-2011,01-01-2015,3,1398,15038,16436,0
20439,acquired,,1,09-07-2007,09-07-2007,1,0,13703,13703,1
20440,operating,,1,01-01-2007,01-01-2007,1,0,13514,13514,0
20441,operating,13065000,7,01-10-2009,03-04-2012,4,915,14518,15433,0
20442,operating,3890000,1,04-03-2009,04-03-2009,1,0,14307,14307,0
20443,closed,,1,29-11-2006,29-11-2006,1,0,13481,13481,0
20444,operating,42183,2,01-08-2014,06-03-2015,5,217,16283,16500,0
20445,closed,,1,09-07-2013,09-07-2013,1,0,15895,15895,0
20446,operating,1528000,3,01-09-2012,04-11-2013,8,429,15584,16013,0
20447,acquired,19500000,3,13-05-2004,11-01-2006,6,608,12551,13159,1
20448,closed,2000000,1,20-07-2007,20-07-2007,1,0,13714,13714,0
20449,operating,28100000,3,19-06-2007,18-12-2009,10,913,13683,14596,0
20450,closed,120000,1,06-07-2015,06-07-2015,1,0,16622,16622,0
20451,operating,,1,01-08-2007,01-08-2007,1,0,13726,13726,0
20452,operating,500000,1,21-11-2013,21-11-2013,4,0,16030,16030,0
20453,operating,,1,15-10-2015,15-10-2015,4,0,16723,16723,0
20454,operating,,1,31-07-2012,31-07-2012,1,0,15552,15552,0
20455,operating,4600000,2,17-10-2013,30-08-2014,8,317,15995,16312,0
20456,operating,923148,1,07-03-2013,07-03-2013,2,0,15771,15771,0
20457,operating,4500000,1,26-01-2004,26-01-2004,3,0,12443,12443,0
20458,operating,,1,15-11-2013,15-11-2013,1,0,16024,16024,0
20459,operating,1541809,1,10-02-2011,10-02-2011,1,0,15015,15015,0
20460,operating,19615,1,26-02-2013,26-02-2013,1,0,15762,15762,0
20461,operating,10000000,3,01-03-2013,05-06-2015,8,826,15765,16591,0
20462,operating,1083533,3,01-11-2012,01-07-2013,2,242,15645,15887,0
20463,operating,20900000,2,04-09-2000,13-06-2005,5,1743,11204,12947,0
20464,operating,,1,14-04-2008,14-04-2008,1,0,13983,13983,0
20465,operating,500000,1,24-02-2014,24-02-2014,1,0,16125,16125,0
20466,operating,,1,01-06-2013,01-06-2013,1,0,15857,15857,0
20467,operating,234814,1,01-03-2014,01-03-2014,1,0,16130,16130,0
20468,acquired,16000000,1,30-11-1999,30-11-1999,3,0,10925,10925,1
20469,ipo,31634312,7,14-02-2007,03-07-2014,4,2696,13558,16254,1
20470,closed,696000,1,20-02-2007,20-02-2007,1,0,13564,13564,0
20471,operating,,1,15-09-2014,15-09-2014,1,0,16328,16328,0
20472,operating,55450000,4,01-12-2007,07-10-2014,10,2502,13848,16350,0
20473,operating,1100000,1,04-05-2010,04-05-2010,7,0,14733,14733,0
20474,operating,1463414,1,01-08-2008,01-08-2008,1,0,14092,14092,0
20475,operating,2652000,3,01-05-2012,15-07-2014,3,805,15461,16266,0
20476,closed,,1,31-10-2014,31-10-2014,1,0,16374,16374,0
20477,operating,,2,01-11-2013,01-11-2014,2,365,16010,16375,0
20478,operating,,1,23-07-2013,23-07-2013,1,0,15909,15909,0
20479,operating,,1,03-08-2015,03-08-2015,1,0,16650,16650,0
20480,operating,132783861,3,23-06-2004,30-10-2009,15,1955,12592,14547,0
20481,operating,,1,01-06-2009,01-06-2009,1,0,14396,14396,0
20482,operating,1500000,2,02-06-2015,18-06-2015,5,16,16588,16604,0
20483,operating,13053000,1,12-03-2013,12-03-2013,3,0,15776,15776,0
20484,operating,1300000,1,11-09-2015,11-09-2015,3,0,16689,16689,0
20485,operating,,1,01-08-2014,01-08-2014,1,0,16283,16283,0
20486,operating,17000,1,01-09-2012,01-09-2012,1,0,15584,15584,0
20487,operating,42200000,3,27-08-2013,24-02-2015,10,546,15944,16490,0
20488,ipo,70946214,5,13-10-2006,27-02-2012,24,1963,13434,15397,1
20489,acquired,14907283,3,02-11-2010,27-11-2012,3,756,14915,15671,1
20490,closed,,1,01-02-2014,01-02-2014,1,0,16102,16102,0
20491,operating,168219,1,09-02-2015,09-02-2015,1,0,16475,16475,0
20492,acquired,14300000,2,05-06-2006,01-09-2007,9,453,13304,13757,1
20493,operating,3850000,3,29-02-2012,14-01-2013,4,320,15399,15719,0
20494,operating,,1,30-01-2014,30-01-2014,1,0,16100,16100,0
20495,operating,22500000,2,26-04-2013,20-04-2015,6,724,15821,16545,0
20496,operating,31600000,2,23-02-2014,03-11-2014,3,253,16124,16377,0
20497,acquired,39000000,2,18-11-2003,29-09-2006,11,1046,12374,13420,1
20498,operating,1050000,1,18-06-2014,18-06-2014,3,0,16239,16239,0
20499,acquired,,1,02-03-2015,02-03-2015,1,0,16496,16496,1
20500,closed,1126000,1,20-05-2015,20-05-2015,12,0,16575,16575,0
20501,operating,1330000,1,11-11-2005,11-11-2005,1,0,13098,13098,0
20502,operating,100,1,01-01-2014,01-01-2014,2,0,16071,16071,0
20503,operating,,1,28-09-2012,28-09-2012,1,0,15611,15611,0
20504,closed,6586383,3,02-12-2008,07-02-2012,4,1162,14215,15377,0
20505,operating,2000000,1,28-08-2015,28-08-2015,1,0,16675,16675,0
20506,ipo,,1,09-09-2009,09-09-2009,1,0,14496,14496,1
20507,closed,39200000,2,18-07-2003,05-04-2006,18,992,12251,13243,0
20508,closed,500000,1,30-01-2012,30-01-2012,1,0,15369,15369,0
20509,operating,8600000,1,23-07-2012,23-07-2012,4,0,15544,15544,0
20510,operating,1550000,3,01-08-2012,31-08-2015,5,1125,15553,16678,0
20511,operating,1000000,1,01-01-2007,01-01-2007,2,0,13514,13514,0
20512,operating,2587000,1,26-11-2008,26-11-2008,1,0,14209,14209,0
20513,operating,8500000,2,03-07-2009,19-08-2014,3,1873,14428,16301,0
20514,operating,13000000,1,18-08-2010,18-08-2010,1,0,14839,14839,0
20515,operating,97100000,5,06-06-2007,11-07-2013,4,2227,13670,15897,0
20516,operating,50000000,1,04-03-2003,04-03-2003,9,0,12115,12115,0
20517,operating,151299999,10,25-04-2005,28-07-2015,26,3746,12898,16644,0
20518,operating,5000000,1,13-08-2012,13-08-2012,1,0,15565,15565,0
20519,operating,400000,2,01-03-2012,01-11-2014,2,975,15400,16375,0
20520,operating,,1,11-12-2013,11-12-2013,1,0,16050,16050,0
20521,acquired,6000000,1,20-06-2006,20-06-2006,2,0,13319,13319,1
20522,operating,22818,2,01-07-2013,23-07-2014,2,387,15887,16274,0
20523,operating,,1,02-12-2015,02-12-2015,2,0,16771,16771,0
20524,operating,,1,01-04-2006,01-04-2006,1,0,13239,13239,0
20525,operating,35000000,1,08-01-2004,08-01-2004,6,0,12425,12425,0
20526,operating,,1,15-12-2014,15-12-2014,1,0,16419,16419,0
20527,operating,7700000,4,05-01-2010,23-08-2012,2,961,14614,15575,0
20528,operating,,1,12-04-2012,12-04-2012,1,0,15442,15442,0
20529,operating,14900000,3,01-01-2014,17-09-2015,17,624,16071,16695,0
20530,operating,22860000,1,19-08-2003,19-08-2003,1,0,12283,12283,0
20531,operating,9860740,4,01-09-2007,12-09-2013,3,2203,13757,15960,0
20532,operating,1000000,2,22-07-2014,14-04-2015,2,266,16273,16539,0
20533,acquired,12000000,1,11-05-2006,11-05-2006,4,0,13279,13279,1
20534,operating,25414587,4,16-07-2010,03-02-2015,2,1663,14806,16469,0
20535,operating,5000000,1,14-06-2013,14-06-2013,1,0,15870,15870,0
20536,operating,1621510,3,12-08-2011,23-05-2014,2,1015,15198,16213,0
20537,operating,,1,01-08-2014,01-08-2014,1,0,16283,16283,0
20538,operating,3000000,2,01-12-2011,01-03-2014,4,821,15309,16130,0
20539,acquired,3250000,1,24-04-2014,24-04-2014,14,0,16184,16184,1
20540,closed,1472100,1,01-01-2008,01-01-2008,1,0,13879,13879,0
20541,operating,170000,2,01-09-2011,01-02-2012,1,153,15218,15371,0
20542,acquired,22650000,2,22-12-2011,12-11-2013,3,691,15330,16021,1
20543,operating,898628,2,12-04-2013,15-10-2014,2,551,15807,16358,0
20544,operating,55063,2,01-06-2014,12-11-2014,1,164,16222,16386,0
20545,operating,50000,1,15-07-2015,15-07-2015,2,0,16631,16631,0
20546,operating,1150050,3,20-07-2011,05-02-2014,13,931,15175,16106,0
20547,operating,,1,20-03-2012,20-03-2012,1,0,15419,15419,0
20548,operating,2460000,1,26-06-2008,26-06-2008,1,0,14056,14056,0
20549,operating,20000,1,19-07-2014,19-07-2014,1,0,16270,16270,0
20550,operating,13500000,1,19-11-2015,19-11-2015,2,0,16758,16758,0
20551,operating,33300000,4,06-11-2013,28-09-2015,25,691,16015,16706,0
20552,operating,,2,01-11-2012,01-06-2014,2,577,15645,16222,0
20553,closed,40968,1,06-12-2013,06-12-2013,1,0,16045,16045,0
20554,closed,3000000,1,01-05-2007,01-05-2007,1,0,13634,13634,0
20555,operating,10800000,2,15-05-2014,15-04-2015,21,335,16205,16540,0
20556,operating,847595,1,01-07-2014,01-07-2014,1,0,16252,16252,0
20557,operating,7250000,3,09-11-2011,01-07-2013,7,600,15287,15887,0
20558,operating,1037802,3,08-09-2011,01-09-2014,2,1089,15225,16314,0
20559,acquired,126000000,5,11-05-2006,09-08-2011,16,1916,13279,15195,1
20560,acquired,2990599,4,31-01-2013,10-03-2015,3,768,15736,16504,1
20561,operating,1063779080,11,01-10-2008,30-08-2015,37,2524,14153,16677,0
20562,closed,196000,1,10-01-2008,10-01-2008,1,0,13888,13888,0
20563,operating,,1,17-04-2003,17-04-2003,1,0,12159,12159,0
20564,operating,29000000,2,18-02-2004,03-02-2005,7,351,12466,12817,0
20565,closed,1474998,4,01-05-2008,01-01-2012,3,1340,14000,15340,0
20566,operating,250000,1,01-05-2014,01-05-2014,1,0,16191,16191,0
20567,operating,1700000,2,29-10-2013,29-04-2015,12,547,16007,16554,0
20568,operating,9300000,1,20-06-2005,20-06-2005,2,0,12954,12954,0
20569,operating,2100000,2,05-08-2010,07-12-2010,1,124,14826,14950,0
20570,operating,213700,2,03-10-2014,15-04-2015,2,194,16346,16540,0
20571,closed,15070000,1,17-01-2007,17-01-2007,2,0,13530,13530,0
20572,closed,3100000,1,20-11-2009,20-11-2009,1,0,14568,14568,0
20573,acquired,200000,1,01-01-2006,01-01-2006,2,0,13149,13149,1
20574,operating,2200000,1,15-10-2015,15-10-2015,3,0,16723,16723,0
20575,operating,15000,1,07-08-2014,07-08-2014,1,0,16289,16289,0
20576,acquired,34898793,1,01-10-2003,01-10-2003,7,0,12326,12326,1
20577,operating,14300000,2,04-12-2010,05-04-2011,3,122,14947,15069,0
20578,acquired,,1,01-05-2009,01-05-2009,1,0,14365,14365,1
20579,operating,16691,1,11-07-2015,11-07-2015,1,0,16627,16627,0
20580,operating,100000000,1,03-06-2014,03-06-2014,2,0,16224,16224,0
20581,operating,,1,05-12-2013,05-12-2013,1,0,16044,16044,0
20582,operating,,1,20-02-2013,20-02-2013,2,0,15756,15756,0
20583,operating,3200085,3,28-12-2011,08-01-2015,3,1107,15336,16443,0
20584,operating,125000,2,13-01-2015,27-02-2015,2,45,16448,16493,0
20585,acquired,28120000,3,01-07-2005,14-01-2009,7,1293,12965,14258,1
20586,operating,,1,05-12-2012,05-12-2012,1,0,15679,15679,0
20587,operating,5250000,1,25-09-2012,25-09-2012,4,0,15608,15608,0
20588,operating,500000,1,15-05-2015,15-05-2015,5,0,16570,16570,0
20589,operating,12000000,1,10-11-2004,10-11-2004,5,0,12732,12732,0
20590,operating,14625000,5,12-08-2012,16-07-2015,13,1068,15564,16632,0
20591,operating,7100000,1,06-01-2010,06-01-2010,1,0,14615,14615,0
20592,operating,2500000,2,09-07-2014,15-09-2015,1,433,16260,16693,0
20593,operating,,1,01-01-2009,01-01-2009,1,0,14245,14245,0
20594,operating,1600000,1,20-03-2007,20-03-2007,1,0,13592,13592,0
20595,operating,,2,01-01-2011,01-09-2011,5,243,14975,15218,0
20596,closed,156000,1,01-06-2015,01-06-2015,1,0,16587,16587,0
20597,operating,700000,3,15-08-2012,13-01-2014,3,516,15567,16083,0
20598,operating,1050000,2,19-09-2013,22-05-2014,4,245,15967,16212,0
20599,operating,3104714,6,17-02-2010,20-02-2014,4,1464,14657,16121,0
20600,operating,58631203,5,01-01-2012,25-08-2015,2,1332,15340,16672,0
20601,closed,608507.5811,1,22-05-2015,22-05-2015,1,0,16577,16577,0
20602,operating,,1,17-07-2014,17-07-2014,1,0,16268,16268,0
20603,operating,,1,31-12-2014,31-12-2014,1,0,16435,16435,0
20604,closed,3910000,2,12-06-2012,29-10-2013,20,504,15503,16007,0
20605,operating,250000,1,01-10-2014,01-10-2014,1,0,16344,16344,0
20606,operating,53000000,3,01-04-2011,19-05-2015,6,1509,15065,16574,0
20607,operating,4300000,2,15-07-2014,23-06-2015,1,343,16266,16609,0
20608,operating,15000000,1,02-05-2012,02-05-2012,3,0,15462,15462,0
20609,operating,,1,01-07-2007,01-07-2007,1,0,13695,13695,0
20610,operating,50000,1,01-01-2010,01-01-2010,2,0,14610,14610,0
20611,closed,250000,1,05-08-2011,05-08-2011,2,0,15191,15191,0
20612,operating,8500000,2,01-10-2008,13-07-2009,1,285,14153,14438,0
20613,closed,250000,1,01-04-2010,01-04-2010,1,0,14700,14700,0
20614,closed,11500000,1,02-02-2000,02-02-2000,3,0,10989,10989,0
20615,operating,2455124,4,22-11-2011,23-04-2015,1,1248,15300,16548,0
20616,operating,420000,2,01-09-2014,18-08-2015,1,351,16314,16665,0
20617,operating,1000000,2,14-12-2010,25-06-2014,1,1289,14957,16246,0
20618,operating,4000000,1,19-06-2006,19-06-2006,2,0,13318,13318,0
20619,acquired,750000,1,01-06-2007,01-06-2007,2,0,13665,13665,1
20620,operating,163758,1,22-03-2011,22-03-2011,1,0,15055,15055,0
20621,operating,,1,07-10-2011,07-10-2011,1,0,15254,15254,0
20622,operating,65700000,11,26-04-2005,01-04-2013,15,2897,12899,15796,0
20623,operating,1000000,1,30-08-2011,30-08-2011,2,0,15216,15216,0
20624,operating,118000,1,27-07-2015,27-07-2015,1,0,16643,16643,0
20625,operating,2720000,2,01-01-2008,18-03-2010,2,807,13879,14686,0
20626,operating,500000,1,05-11-2014,05-11-2014,1,0,16379,16379,0
20627,operating,201163,3,01-10-2012,01-05-2014,3,577,15614,16191,0
20628,operating,17136,1,16-05-2015,16-05-2015,1,0,16571,16571,0
20629,ipo,,1,17-11-2009,17-11-2009,1,0,14565,14565,1
20630,closed,329250,1,01-01-2007,01-01-2007,3,0,13514,13514,0
20631,acquired,9000000,1,25-03-2004,25-03-2004,4,0,12502,12502,1
20632,operating,14250377,3,29-07-2013,12-11-2015,1,836,15915,16751,0
20633,operating,2455000,2,03-05-2013,01-01-2014,3,243,15828,16071,0
20634,operating,40000000,2,01-09-2010,01-11-2011,1,426,14853,15279,0
20635,operating,4050000,3,01-09-2014,23-07-2015,2,325,16314,16639,0
20636,operating,50000,1,29-10-2013,29-10-2013,1,0,16007,16007,0
20637,operating,58000,2,17-06-2013,20-01-2015,2,582,15873,16455,0
20638,acquired,23414268,3,01-02-2006,01-10-2007,4,607,13180,13787,1
20639,operating,1080000,1,06-12-2006,06-12-2006,1,0,13488,13488,0
20640,operating,2000000,1,01-08-2005,01-08-2005,1,0,12996,12996,0
20641,acquired,16000000,4,01-06-2007,01-04-2013,9,2131,13665,15796,1
20642,closed,796205,1,23-09-2010,23-09-2010,1,0,14875,14875,0
20643,operating,50000000,1,18-05-2007,18-05-2007,1,0,13651,13651,0
20644,operating,,1,17-02-2005,17-02-2005,1,0,12831,12831,0
20645,operating,13000000,4,21-01-2014,08-10-2015,5,625,16091,16716,0
20646,operating,375000,1,04-07-2014,04-07-2014,1,0,16255,16255,0
20647,closed,31490,1,24-10-2008,24-10-2008,2,0,14176,14176,0
20648,operating,21000000,2,29-07-2013,06-08-2014,7,373,15915,16288,0
20649,operating,13274403,3,01-05-2010,01-07-2014,6,1522,14730,16252,0
20650,operating,1183804,2,01-05-2006,13-04-2015,1,3269,13269,16538,0
20651,operating,,1,24-07-2015,24-07-2015,4,0,16640,16640,0
20652,operating,162954,1,01-03-2014,01-03-2014,1,0,16130,16130,0
20653,closed,4000000,3,14-11-2008,22-11-2010,7,738,14197,14935,0
20654,closed,2600000,3,01-06-2007,14-01-2008,11,227,13665,13892,0
20655,acquired,159968498,10,01-08-2006,01-11-2014,43,3014,13361,16375,1
20656,operating,35000,2,06-06-2013,30-04-2014,1,328,15862,16190,0
20657,acquired,500000,2,01-10-2011,20-03-2012,5,171,15248,15419,1
20658,operating,10800000,2,13-06-2013,06-10-2014,2,480,15869,16349,0
20659,operating,780000,2,11-12-2012,01-01-2015,2,751,15685,16436,0
20660,operating,,1,12-07-2007,12-07-2007,1,0,13706,13706,0
20661,operating,100000,1,13-07-2012,13-07-2012,1,0,15534,15534,0
20662,operating,14970000,2,26-06-2012,21-07-2014,3,755,15517,16272,0
20663,operating,20313,1,10-10-2013,10-10-2013,1,0,15988,15988,0
20664,operating,40000,1,01-06-2014,01-06-2014,1,0,16222,16222,0
20665,closed,,1,16-03-2011,16-03-2011,1,0,15049,15049,0
20666,operating,211000000,3,06-03-2013,26-11-2014,2,630,15770,16400,0
20667,acquired,27000000,2,01-08-2006,18-04-2007,6,260,13361,13621,1
20668,operating,5600000,1,03-02-2015,03-02-2015,2,0,16469,16469,0
20669,operating,52787935.31,4,14-01-2011,27-10-2015,7,1747,14988,16735,0
20670,operating,,1,06-06-2011,06-06-2011,1,0,15131,15131,0
20671,operating,5075000,2,29-05-2015,15-06-2015,1,17,16584,16601,0
20672,operating,1159500,5,31-10-2010,11-09-2013,3,1046,14913,15959,0
20673,closed,1000000,1,23-09-2010,23-09-2010,3,0,14875,14875,0
20674,operating,384000,1,06-11-2012,06-11-2012,2,0,15650,15650,0
20675,operating,250000,1,15-03-2013,15-03-2013,2,0,15779,15779,0
20676,operating,350000,1,01-11-2007,01-11-2007,1,0,13818,13818,0
20677,operating,,1,17-04-2003,17-04-2003,2,0,12159,12159,0
20678,operating,2000000,1,29-04-2015,29-04-2015,1,0,16554,16554,0
20679,acquired,18687288,3,17-01-2005,20-04-2010,7,1919,12800,14719,1
20680,operating,4000000,1,14-05-2007,14-05-2007,2,0,13647,13647,0
20681,operating,100000,1,27-06-2012,27-06-2012,1,0,15518,15518,0
20682,operating,522965,2,24-01-2011,03-01-2013,2,710,14998,15708,0
20683,operating,17349401,3,01-03-2010,21-09-2015,5,2030,14669,16699,0
20684,operating,,1,26-08-2014,26-08-2014,2,0,16308,16308,0
20685,operating,3671000,8,01-01-1998,01-11-2012,8,5418,10227,15645,0
20686,operating,20000000,2,01-01-2013,08-01-2015,7,737,15706,16443,0
20687,operating,9000000,3,11-03-2005,04-12-2007,10,998,12853,13851,0
20688,operating,8143000,3,27-08-2012,29-10-2013,3,428,15579,16007,0
20689,acquired,,1,23-12-2004,23-12-2004,1,0,12775,12775,1
20690,operating,500000,1,25-05-2006,25-05-2006,1,0,13293,13293,0
20691,operating,1390000,2,25-08-2005,01-12-2011,2,2289,13020,15309,0
20692,operating,2470295,3,10-12-2012,30-07-2015,5,962,15684,16646,0
20693,operating,241903,5,01-07-2012,01-09-2013,5,427,15522,15949,0
20694,operating,2500000,1,12-11-2014,12-11-2014,3,0,16386,16386,0
20695,operating,2200000,1,22-04-2015,22-04-2015,2,0,16547,16547,0
20696,operating,35305200,2,18-10-2011,04-11-2013,7,748,15265,16013,0
20697,operating,9478511,3,01-01-2006,01-07-2013,3,2738,13149,15887,0
20698,operating,57000,1,01-01-2010,01-01-2010,1,0,14610,14610,0
20699,operating,5443678,6,01-06-2007,19-09-2013,1,2302,13665,15967,0
20700,operating,2000000,2,19-05-2011,18-08-2012,6,457,15113,15570,0
20701,acquired,,1,22-04-2013,22-04-2013,1,0,15817,15817,1
20702,operating,25000,1,13-01-2014,13-01-2014,1,0,16083,16083,0
20703,operating,4200000,1,08-07-2009,08-07-2009,2,0,14433,14433,0
20704,closed,,1,30-06-2015,30-06-2015,1,0,16616,16616,0
20705,operating,10000000,2,01-03-2006,01-04-2007,3,396,13208,13604,0
20706,operating,10000,1,25-07-2014,25-07-2014,1,0,16276,16276,0
20707,operating,875000,2,01-01-2013,10-01-2015,1,739,15706,16445,0
20708,operating,45697,1,17-05-2013,17-05-2013,1,0,15842,15842,0
20709,operating,,2,07-07-2012,01-02-2014,3,574,15528,16102,0
20710,operating,59956,1,09-02-2015,09-02-2015,2,0,16475,16475,0
20711,acquired,3850000,1,15-04-2005,15-04-2005,1,0,12888,12888,1
20712,operating,2500000,2,01-01-2009,01-04-2009,3,90,14245,14335,0
20713,operating,2550000,2,25-04-2013,10-07-2013,2,76,15820,15896,0
20714,closed,20000000,1,01-06-2000,01-06-2000,7,0,11109,11109,0
20715,ipo,4400000,1,20-08-2009,20-08-2009,7,0,14476,14476,1
20716,operating,22272843,2,19-02-2013,23-07-2013,1,154,15755,15909,0
20717,closed,,1,10-11-2010,10-11-2010,1,0,14923,14923,0
20718,operating,85946511,5,31-07-2006,15-07-2015,12,3271,13360,16631,0
20719,acquired,,1,01-10-2010,01-10-2010,1,0,14883,14883,1
20720,closed,2930000,2,24-07-2005,03-03-2009,4,1318,12988,14306,0
20721,closed,120000000,1,27-02-2002,27-02-2002,5,0,11745,11745,0
20722,operating,5100000,2,31-08-2009,20-09-2012,2,1116,14487,15603,0
20723,operating,2578524,1,03-12-2014,03-12-2014,2,0,16407,16407,0
20724,operating,20000,1,01-08-2012,01-08-2012,1,0,15553,15553,0
20725,operating,75790328,8,28-02-2007,07-04-2015,8,2960,13572,16532,0
20726,operating,28433,1,01-03-2014,01-03-2014,1,0,16130,16130,0
20727,operating,,1,12-03-2009,12-03-2009,1,0,14315,14315,0
20728,acquired,53000000,4,01-11-2005,22-09-2010,18,1786,13088,14874,1
20729,operating,6204669,1,21-01-2009,21-01-2009,1,0,14265,14265,0
20730,operating,,1,02-08-2008,02-08-2008,1,0,14093,14093,0
20731,operating,33000000,3,22-12-2006,02-03-2010,8,1166,13504,14670,0
20732,operating,7973872,3,01-03-2014,15-12-2014,6,289,16130,16419,0
20733,closed,13600000,1,18-06-2003,18-06-2003,2,0,12221,12221,0
20734,acquired,2500000,1,12-02-2009,12-02-2009,1,0,14287,14287,1
20735,operating,600000,1,12-03-2014,12-03-2014,3,0,16141,16141,0
20736,operating,600000,1,18-11-2015,18-11-2015,4,0,16757,16757,0
20737,operating,15300000,5,01-04-2005,01-12-2007,9,974,12874,13848,0
20738,operating,6000000,1,09-07-2014,09-07-2014,2,0,16260,16260,0
20739,operating,1000000,1,01-06-2013,01-06-2013,6,0,15857,15857,0
20740,operating,1000000,1,31-12-2013,31-12-2013,1,0,16070,16070,0
20741,operating,,1,02-07-2014,02-07-2014,1,0,16253,16253,0
20742,operating,169502,2,12-11-2012,01-04-2014,2,505,15656,16161,0
20743,closed,15500000,1,16-06-2006,16-06-2006,1,0,13315,13315,0
20744,operating,11000000,1,08-06-2005,08-06-2005,4,0,12942,12942,0
20745,operating,80000000,1,06-01-2004,06-01-2004,2,0,12423,12423,0
20746,operating,,1,30-08-2013,30-08-2013,1,0,15947,15947,0
20747,acquired,119191000,7,09-02-2005,21-09-2011,12,2415,12823,15238,1
20748,closed,2000000,1,30-11-1999,30-11-1999,1,0,10925,10925,0
